file_name,ethnicity
1.jpg,Indian
2.jpg,Malay
3.jpg,Chinese
4.jpg,Indian
5.jpg,Malay
6.jpg,Malay
7.jpg,Indian
8.jpg,Indian
9.jpg,Malay
10.jpg,Indian
11.jpg,Chinese
12.jpg,Chinese
13.jpg,Indian
14.jpg,Indian
15.jpg,Indian
16.jpg,Chinese
17.jpg,Indian
18.jpg,Indian
19.jpg,Indian
20.jpg,Indian
21.jpg,Chinese
22.jpg,Indian
23.jpg,Indian
24.jpg,Chinese
25.jpg,Malay
26.jpg,Indian
27.jpg,Indian
28.jpg,Indian
29.jpg,Chinese
30.jpg,Indian
31.jpg,Chinese
32.jpg,Indian
33.jpg,Indian
34.jpg,Chinese
35.jpg,Indian
36.jpg,Indian
37.jpg,Malay
38.jpg,Indian
39.jpg,Indian
40.jpg,Malay
41.jpg,Chinese
42.jpg,Indian
43.jpg,Chinese
44.jpg,Indian
45.jpg,Chinese
46.jpg,Chinese
47.jpg,Malay
48.jpg,Malay
49.jpg,Indian
50.jpg,Malay
51.jpg,Malay
52.jpg,Malay
53.jpg,Chinese
54.jpg,Chinese
55.jpg,Chinese
56.jpg,Indian
57.jpg,Malay
58.jpg,Indian
59.jpg,Chinese
60.jpg,Indian
61.jpg,Malay
62.jpg,Chinese
63.jpg,Indian
64.jpg,Malay
65.jpg,Malay
66.jpg,Indian
67.jpg,Chinese
68.jpg,Malay
69.jpg,Indian
70.jpg,Indian
71.jpg,Malay
72.jpg,Indian
73.jpg,Malay
74.jpg,Chinese
75.jpg,Chinese
76.jpg,Chinese
77.jpg,Indian
78.jpg,Malay
79.jpg,Chinese
80.jpg,Malay
81.jpg,Malay
82.jpg,Chinese
83.jpg,Malay
84.jpg,Malay
85.jpg,Malay
86.jpg,Chinese
87.jpg,Chinese
88.jpg,Chinese
89.jpg,Malay
90.jpg,Malay
91.jpg,Indian
92.jpg,Chinese
93.jpg,Indian
94.jpg,Chinese
95.jpg,Indian
96.jpg,Indian
97.jpg,Chinese
98.jpg,Malay
99.jpg,Chinese
100.jpg,Indian
101.jpg,Chinese
102.jpg,Indian
103.jpg,Malay
104.jpg,Indian
105.jpg,Chinese
106.jpg,Chinese
107.jpg,Chinese
108.jpg,Chinese
109.jpg,Malay
110.jpg,Chinese
111.jpg,Indian
112.jpg,Indian
113.jpg,Chinese
114.jpg,Indian
115.jpg,Malay
116.jpg,Chinese
117.jpg,Indian
118.jpg,Malay
119.jpg,Malay
120.jpg,Indian
121.jpg,Chinese
122.jpg,Indian
123.jpg,Indian
124.jpg,Indian
125.jpg,Chinese
126.jpg,Chinese
127.jpg,Chinese
128.jpg,Indian
129.jpg,Malay
130.jpg,Malay
131.jpg,Malay
132.jpg,Chinese
133.jpg,Indian
134.jpg,Malay
135.jpg,Malay
136.jpg,Malay
137.jpg,Chinese
138.jpg,Indian
139.jpg,Malay
140.jpg,Indian
141.jpg,Indian
142.jpg,Indian
143.jpg,Chinese
144.jpg,Malay
145.jpg,Malay
146.jpg,Indian
147.jpg,Chinese
148.jpg,Chinese
149.jpg,Indian
150.jpg,Malay
151.jpg,Chinese
152.jpg,Malay
153.jpg,Malay
154.jpg,Malay
155.jpg,Malay
156.jpg,Malay
157.jpg,Indian
158.jpg,Chinese
159.jpg,Chinese
160.jpg,Chinese
161.jpg,Malay
162.jpg,Indian
163.jpg,Indian
164.jpg,Indian
165.jpg,Malay
166.jpg,Malay
167.jpg,Chinese
168.jpg,Chinese
169.jpg,Indian
170.jpg,Malay
171.jpg,Malay
172.jpg,Chinese
173.jpg,Malay
174.jpg,Malay
175.jpg,Chinese
176.jpg,Indian
177.jpg,Indian
178.jpg,Indian
